forwarder,shapley_value
1,7942.0
2,1848.0
3,7286.5
4,4987.5
5,6969.0
8,5171.0
10,4038.0
13,4204.0
17,2565.0
21,10257.0
25,6684.0
30,4135.0
31,3267.0
33,10876.0
38,3020.0
39,7293.0
44,1581.5
45,4829.5
47,7288.0
49,2636.0
